City,State,Portal_URL,DatePortalAccessed,Software,TotalDataSetsAvailable,NotesDataSetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,DateLibDataLastUpdated,Notes,2017OpenDataCensusScore
Portland,ME,,,,,,,,,,No open data website found,0
Portland,OR,https://gis-pdx.opendata.arcgis.com/,2019-12-16,Arcgis,232,Restricted to Data,0,,,,,710
Portsmouth,VA,,,,,,,,,,No open data website found,250
Princeton,NJ,,,,,,,,,,No open data website found,0
Providence,RI,https://data.providenceri.gov/,2019-12-16,Socrata,117,Restricted to type: datasets,0,,,,,1380
Raleigh,NC,http://data-ral.opendata.arcgis.com/,2019-12-16,Arcgis,181,Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2019-11-04,,990
Richmond,CA,https://opendata.ci.richmond.ca.us/,2019-12-16,Socrata,53,Restricted to type: datasets,0,,,,,N/A
Sacramento,CA,http://data.cityofsacramento.org/,2019-12-16,Arcgis,90,Restricted to Data,0,,,,,1385
Salinas,CA,https://cityofsalinas.opendatasoft.com/pages/homepage/,2019-12-16,Opendatasoft,60,,7,"Library Circulation, Library Computer Usage, Library Program by Age Group, Library Program Attendance by Age Group, Library Visitors, Salinas Public Libraries (Points), Libraries","CatalogAndCirculation,TechnologyOfferings,Patrons,FacilitiesAndGeospatial,EventsAndOutreach",2019-03-22,,N/A
Salt Lake City,UT,http://gis-slcgov.opendata.arcgis.com/,2019-12-16,Arcgis,16,,0,,,,Older version of arcgis no limiting to data,1065
San Antonio,TX,https://data.sanantonio.gov/,2019-12-16,CKAN,73,,1,Libraries,FacilitiesAndGeospatial,2019-09-18,,890
San Diego,CA,https://data.sandiego.gov/,2019-12-16,JKAN,91,,1,Library locations,FacilitiesAndGeospatial,2019-09-17,,1550
San Francisco,CA,https://datasf.org/opendata/,2019-12-16,Socrata,395,Restricted to type: datasets,1,Library Usage,"Patrons,CatalogAndCirculation",2019-09-05,,1845
San Jose,CA,https://data.sanjoseca.gov/,2019-12-16,CKAN,34,,1,Library - California Room Data,CatalogAndCirculation,2019-05-24,"""The California Room collects materials on California history with an emphasis on the city of San Jose and the greater Santa Clara Valley.""",920
Santa Clarita,CA,http://data.santa-clarita.com/,2020-01-04,Arcgis,20,,2,"Santa Clarita Library circulation 2016, Santa Clarita Libraries All Data","CatalogAndCirculation,EventsAndOutreach,Patrons,TechnologyOfferings,FacilitiesAndGeospatial",2019-07-19,"Looks like one dataset was duplicated (circ 2016), only counted it once, but the data appears to be corrupted",405
Santa Monica,CA,https://data.smgov.net/,2019-12-17,Socrata,30,Restricted to type: datasets,0,,,,,1560
Savannah,GA,https://data-sagis.opendata.arcgis.com/,2019-12-17,Arcgis,133,Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2019-10-24,Combination of county & city data,325
Scottsdale,AZ,http://data.scottsdaleaz.gov/,2019-12-17,CKAN,46,,1,Libraries,FacilitiesAndGeospatial,2019-05-09,,N/A
Seattle,WA,https://data.seattle.gov/,2019-12-17,Socrata,276,Restricted to type: datasets,4,"Library Collection Inventory, Integrated Library System (ILS) Data Dictionary, Checkouts By Title, Checkouts By Title (Physical Items) ",CatalogAndCirculation,2019-12-17,,1410
Southbend,IN,https://data-southbend.opendata.arcgis.com/,2019-12-17,Arcgis,63,Restricted to Data,0,,,,,N/A
Spartanburg,SC,,,,,,,,,,No open data website found,0
St. Cloud,MN,,,,,,,,,,No open data website found,N/A
St. Louis,MO,https://www.stlouis-mo.gov/data/,2019-12-17,Other,52,,0,,,,,725
Suffolk,VA,,,,,,,,,,No open data website found,60
Syracuse,NY,http://data.syrgov.net/,2019-12-17,Arcgis,72,,0,,,,,N/A
Tempe,AZ,https://data.tempe.gov/,2019-12-17,CKAN,139,,0,,,,,N/A
Toledo,OH,,,,,,,,,,No open data website found,45
Tulsa,OK,https://www.cityoftulsa.org/government/departments/information-technology/open-tulsa/open-tulsa-dataset-list/,2019-12-17,Other,31,,0,,,,,675
Tuscaloosa,AL,https://data.tuscaloosa.com/,2019-12-17,Socrata,7,Restricted to type: datasets,0,,,,,625
Victorville,CA,http://opengis-victorville.opendata.arcgis.com/,2019-12-17,Arcgis,14,Restricted to Data,1,Victorville public library,FacilitiesAndGeospatial,2017-06-27,,N/A
Virginia Beach,VA,https://data.vbgov.com/,2019-12-17,CKAN,55,,0,,,,,1370
Washington DC,DC,https://opendata.dc.gov/,2019-12-17,Arcgis,"1,092",Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2018-05-10,,1360
West Covina,CA,,,,,,,,,,Only found a GIS/map data portal: https://www.westcovina.org/departments/city-manager-s-office/gis-maps,395
West Hollywood,CA,https://data.weho.org/,2019-12-17,Socrata,27,Restricted to type: datasets,0,,,,,700
Wichita,KS,http://opendata.wichita.gov/,2019-12-17,Arcgis,43,Restricted to Data,0,,,,,N/A
Williamsburg,VA,https://data-williamsburg.opendata.arcgis.com/,2019-12-17,Arcgis,39,Restricted to Data,0,,,,,100
